x0 [AU],y0 [AU],z0 [AU],vx0 [km/s],vy0 [km/s],vz0 [km/s],x1 [AU],y1 [AU],z1 [AU],vx1 [km/s],vy1 [km/s],vz1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.329261410948249,0.0,-8.16521274016797,15.58825869002701,0.0,150,2168.2275,2016.9312
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3333430436013105,0.0,-8.182159907650211,15.57279477972278,0.0,150,2165.9795,2014.3062
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3374246762543716,0.0,-8.199051270699956,15.557319370470609,0.0,150,2163.7207,2011.6703
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3415063089074326,0.0,-8.21588687867031,15.541832660589998,0.0,150,2161.4514,2009.0234
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.345587941560494,0.0,-8.232666781795444,15.526334847655836,0.0,150,2159.1716,2006.3656
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3496695742135552,0.0,-8.249391031183283,15.51082612849584,0.0,150,2156.8813,2003.6971
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3537512068666164,0.0,-8.266059678808192,15.495306699188172,0.0,150,2154.8567,2001.2825
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3578328395196777,0.0,-8.282672777503699,15.479776755059069,0.0,150,2153.4495,1999.5278
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3619144721727388,0.0,-8.299230380955187,15.464236490680488,0.0,150,2152.0308,1997.7614
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3659961048258,0.0,-8.315732543692626,15.44868609986791,0.0,150,2150.6013,1995.9839
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3700777374788613,0.0,-8.332179321083307,15.433125775678109,0.0,150,2149.161,1994.1953
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3741593701319226,0.0,-8.348570769324587,15.417555710407042,0.0,150,2147.7097,1992.3953
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3782410027849838,0.0,-8.364906945436632,15.401976095587756,0.0,150,2146.247,1990.5839
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.382322635438045,0.0,-8.381187907255196,15.38638712198839,0.0,150,2144.7734,1988.7612
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3864042680911062,0.0,-8.39741371342439,15.370788979610184,0.0,150,2143.2004,1986.8165
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3904859007441674,0.0,-8.413584423389477,15.355181857685611,0.0,150,2140.4583,1983.4081
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.3945675333972287,0.0,-8.429700097389674,15.339565944676512,0.0,150,2137.7048,1979.9879
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.39864916605029,0.0,-8.445760796450958,15.323941428272295,0.0,150,2134.9397,1976.5557
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.402730798703351,0.0,-8.461766582378916,15.30830849538824,0.0,150,2133.0413,1973.9545
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4068124313564123,0.0,-8.47771751775157,15.292667332163768,0.0,150,2131.1777,1971.3862
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4108940640094736,0.0,-8.493613665912248,15.277018123960865,0.0,150,2129.1057,1968.6906
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4149756966625349,0.0,-8.509455090962447,15.261361055362478,0.0,150,2126.815,1965.8618
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.419057329315596,0.0,-8.525241857754732,15.245696310171036,0.0,150,2124.5125,1963.021
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4231389619686572,0.0,-8.540974031885625,15.230024071406952,0.0,150,2122.1982,1960.1682
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4272205946217185,0.0,-8.556651679688553,15.21434452130726,0.0,150,2119.872,1957.3035
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4313022272747795,0.0,-8.57227486822675,15.19865784132421,0.0,150,2117.5344,1954.4272
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.435383859927841,0.0,-8.587843665286236,15.182964212124023,0.0,150,2115.2395,1951.4899
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.439465492580902,0.0,-8.603358139368783,15.1672638135856,0.0,150,2113.0325,1948.451
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4435471252339631,0.0,-8.6188183596849,15.151556824799354,0.0,150,2110.8137,1945.3997
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4476287578870246,0.0,-8.634224396146836,15.135843424066062,0.0,150,2108.5842,1942.3367
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.451710390540086,0.0,-8.649576319361614,15.120123788895755,0.0,150,2106.3433,1939.2611
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4557920231931472,0.0,-8.664874200624071,15.104398096006712,0.0,150,2104.0906,1936.173
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4598736558462084,0.0,-8.680118111909923,15.088666521324424,0.0,150,2101.827,1933.0732
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4639552884992697,0.0,-8.695308125868841,15.0729292399807,0.0,150,2099.5518,1929.9609
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4680369211523308,0.0,-8.710444315817561,15.057186426312745,0.0,150,2097.2654,1926.8367
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.472118553805392,0.0,-8.725526755733,15.041438253862324,0.0,150,2094.9675,1923.7001
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4762001864584533,0.0,-8.740555520245401,15.025684895374994,0.0,150,2092.6604,1920.599
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4802818191115144,0.0,-8.755530684631491,15.009926522799324,0.0,150,2090.3462,1917.5898
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4843634517645756,0.0,-8.770452324807682,14.994163307286229,0.0,150,2088.021,1914.5685
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.488445084417637,0.0,-8.785320517323255,14.978395419188304,0.0,150,2085.684,1911.5347
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4925267170706982,0.0,-8.800135339353599,14.962623028059236,0.0,150,2083.336,1908.4884
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.4966083497237594,0.0,-8.814896868693458,14.946846302653253,0.0,150,2080.9766,1905.4302
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.5006899823768207,0.0,-8.8296051837502,14.931065410924598,0.0,150,2078.6057,1902.3593
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.5047716150298818,0.0,-8.844260363537117,14.915280520027098,0.0,150,2076.2231,1899.2759
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.508853247682943,0.0,-8.858862487666736,14.899491796313717,0.0,150,2073.8296,1896.1805
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.5129348803360043,0.0,-8.873411636344153,14.883699405336207,0.0,150,2071.8137,1893.4296
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.5170165129890656,0.0,-8.887907890360415,14.867903511844805,0.0,150,2069.8845,1890.7566
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.5210981456421266,0.0,-8.902351331085885,14.852104279787891,0.0,150,2068.018,1888.1578
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.525179778295188,0.0,-8.916742040463664,14.83630187231182,0.0,150,2066.8071,1886.3282
3,0,0,-0.0,17.196077467085647,0.0,2.537701269998429,1.5292614109482492,0.0,-8.931080101003023,14.820496451760688,0.0,150,2065.5886,1884.4901
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.329261410948249,0.0,-8.149776332357364,15.58381366629938,0.0,150,2169.1533,2018.2133
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3333430436013105,0.0,-8.166711872705934,15.568393076742096,0.0,150,2166.8967,2015.5789
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3374246762543716,0.0,-8.183591806948991,15.552960930433388,0.0,150,2164.6296,2012.9333
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3415063089074326,0.0,-8.200416183699614,15.53751742496839,0.0,150,2162.3518,2010.2772
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.345587941560494,0.0,-8.21718505244942,15.52206275720429,0.0,150,2160.0479,2007.5939
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3496695742135552,0.0,-8.233898463561308,15.506597123257814,0.0,150,2158.0154,2005.1852
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3537512068666164,0.0,-8.250556468262227,15.491120718502785,0.0,150,2156.6086,2003.4303
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3578328395196777,0.0,-8.267159118635918,15.47563373756775,0.0,150,2155.1912,2001.6643
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3619144721727388,0.0,-8.283706467615712,15.460136374333665,0.0,150,2153.7627,1999.8871
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3659961048258,0.0,-8.300198568977295,15.444628821931603,0.0,150,2152.3235,1998.0986
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3700777374788613,0.0,-8.316635477331504,15.4291112727406,0.0,150,2150.873,1996.299
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3741593701319226,0.0,-8.333017248117125,15.41358391838545,0.0,150,2149.4119,1994.4882
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3782410027849838,0.0,-8.349343937593705,15.398046949734654,0.0,150,2147.94,1992.6664
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.382322635438045,0.0,-8.365615602834385,15.382500556898393,0.0,150,2145.3462,1989.4407
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3864042680911062,0.0,-8.381832301718722,15.366944929226523,0.0,150,2142.6104,1986.039
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3904859007441674,0.0,-8.397994092925547,15.3513802553067,0.0,150,2139.8628,1982.6251
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.3945675333972287,0.0,-8.414101035925809,15.335806722962472,0.0,150,2137.694,1979.7662
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.39864916605029,0.0,-8.430153190975465,15.320224519251518,0.0,150,2135.8455,1977.2135
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.402730798703351,0.0,-8.446150619108348,15.304633830463862,0.0,150,2133.9856,1974.6494
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4068124313564123,0.0,-8.46209338212909,15.28903484212022,0.0,150,2132.113,1972.0726
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4108940640094736,0.0,-8.477981542606004,15.273427738970314,0.0,150,2129.8276,1969.249
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4149756966625349,0.0,-8.493815163864038,15.257812704991329,0.0,150,2127.5305,1966.4135
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.419057329315596,0.0,-8.5095943099777,15.242189923386348,0.0,150,2125.222,1963.5663
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4231389619686572,0.0,-8.52531904576403,15.226559576582916,0.0,150,2122.9019,1960.7074
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4272205946217185,0.0,-8.540989436775567,15.210921846231576,0.0,150,2120.5698,1957.8363
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4313022272747795,0.0,-8.556605549293335,15.195276913204516,0.0,150,2118.3364,1954.8544
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.435383859927841,0.0,-8.572167450319863,15.179624957594266,0.0,150,2116.1343,1951.8215
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.439465492580902,0.0,-8.587675207572188,15.163966158712402,0.0,150,2113.9214,1948.7771
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4435471252339631,0.0,-8.603128889474913,15.14830069508835,0.0,150,2111.6963,1945.7197
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4476287578870246,0.0,-8.61852856515326,15.132628744468237,0.0,150,2109.4607,1942.6509
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.451710390540086,0.0,-8.633874304426142,15.11695048381375,0.0,150,2107.2139,1939.57
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4557920231931472,0.0,-8.649166177799264,15.101266089301095,0.0,150,2104.9553,1936.4764
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4598736558462084,0.0,-8.664404256458228,15.085575736319992,0.0,150,2102.6855,1933.3707
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4639552884992697,0.0,-8.679588612261675,15.069879599472696,0.0,150,2100.4045,1930.2529
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4680369211523308,0.0,-8.69471931773443,15.054177852573094,0.0,150,2098.1123,1927.123
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.472118553805392,0.0,-8.70979644606067,15.038470668645845,0.0,150,2095.8088,1923.9813
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4762001864584533,0.0,-8.72482007107713,15.02275821992558,0.0,150,2093.4988,1920.9409
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4802818191115144,0.0,-8.739790267266285,15.007040677856114,0.0,150,2091.179,1917.9263
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4843634517645756,0.0,-8.754707109749623,14.99131821308974,0.0,150,2088.848,1914.8994
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.488445084417637,0.0,-8.769570674280864,14.975590995486565,0.0,150,2086.5056,1911.8602
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4925267170706982,0.0,-8.784381037239246,14.959859194113871,0.0,150,2084.1519,1908.8085
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.4966083497237594,0.0,-8.799138275622825,14.944122977245572,0.0,150,2081.7869,1905.7446
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.5006899823768207,0.0,-8.813842467041782,14.928382512361644,0.0,150,2079.411,1902.6687
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.5047716150298818,0.0,-8.828493689711774,14.912637966147672,0.0,150,2077.023,1899.5802
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.508853247682943,0.0,-8.8430920224473,14.896889504494409,0.0,150,2074.624,1896.4794
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.5129348803360043,0.0,-8.857637544655052,14.881137292497352,0.0,150,2072.4292,1893.6189
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.5170165129890656,0.0,-8.872130336327372,14.865381494456464,0.0,150,2070.7397,1891.3517
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.5210981456421266,0.0,-8.886570478035644,14.84962227387579,0.0,150,2069.088,1889.1194
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.525179778295188,0.0,-8.90095805092377,14.833859793463242,0.0,150,2067.4739,1886.9221
3,0,0,-0.0,17.196077467085647,0.0,2.5417829026514904,1.5292614109482492,0.0,-8.915293136701633,14.818094215130388,0.0,150,2066.0786,1884.9247
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.329261410948249,0.0,-8.13438320187775,15.579356731242603,0.0,150,2170.0903,2019.507
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3333430436013105,0.0,-8.151307058005736,15.563979318708386,0.0,150,2167.8252,2016.863
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3374246762543716,0.0,-8.16817550562835,15.54859029232344,0.0,150,2165.5496,2014.2084
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3415063089074326,0.0,-8.184988592625302,15.533189848960252,0.0,150,2163.111,2011.3867
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.345587941560494,0.0,-8.201746367752314,15.517778184759996,0.0,150,2161.1953,2009.1119
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3496695742135552,0.0,-8.218448880633915,15.50235549513,0.0,150,2159.7893,2007.3567
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3537512068666164,0.0,-8.235096181756262,15.486921974741325,0.0,150,2158.3726,2005.591
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3578328395196777,0.0,-8.251688322459959,15.471477817526356,0.0,150,2156.9453,2003.8137
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3619144721727388,0.0,-8.268225354932895,15.45602321667648,0.0,150,2155.5068,2002.0256
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3659961048258,0.0,-8.284707332203066,15.440558364639788,0.0,150,2154.0576,2000.2262
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3700777374788613,0.0,-8.30113430813146,15.425083453118903,0.0,150,2152.5974,1998.4158
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3741593701319226,0.0,-8.317506337404868,15.409598673068784,0.0,150,2150.221,1995.4585
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3782410027849838,0.0,-8.333823475528796,15.394104214694636,0.0,150,2147.5022,1992.075
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.382322635438045,0.0,-8.350085778820318,15.378600267449876,0.0,150,2144.7722,1988.6793
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3864042680911062,0.0,-8.366293304400987,15.363087020034136,0.0,150,2142.3442,1985.5731
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3904859007441674,0.0,-8.38244611018972,15.347564660391336,0.0,150,2140.51,1983.0358
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.3945675333972287,0.0,-8.398544254895727,15.332033375707804,0.0,150,2138.6648,1980.4869
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.39864916605029,0.0,-8.414587798011425,15.316493352410466,0.0,150,2136.8086,1977.9269
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.402730798703351,0.0,-8.430576799805397,15.300944776165077,0.0,150,2134.9414,1975.3557
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4068124313564123,0.0,-8.446511321315336,15.28538783187451,0.0,150,2132.852,1972.649
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4108940640094736,0.0,-8.462391424341002,15.26982270367711,0.0,150,2130.5605,1969.8186
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4149756966625349,0.0,-8.478217171437224,15.254249574945083,0.0,150,2128.2576,1966.9769
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.419057329315596,0.0,-8.493988625906885,15.23866862828296,0.0,150,2125.9429,1964.1232
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4231389619686572,0.0,-8.509705851793932,15.22308004552609,0.0,150,2123.6316,1961.2443
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4272205946217185,0.0,-8.525368913876411,15.207484007739218,0.0,150,2121.4456,1958.2299
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4313022272747795,0.0,-8.540977877659502,15.191880695215074,0.0,150,2119.2488,1955.2035
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.435383859927841,0.0,-8.556532809368587,15.176270287473075,0.0,150,2117.0405,1952.1649
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.439465492580902,0.0,-8.572033775942305,15.160652963257997,0.0,150,2114.8208,1949.1141
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4435471252339631,0.0,-8.587480845025674,15.145028900538763,0.0,150,2112.59,1946.0515
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.4476287578870246,0.0,-8.60287408496317,15.129398276507285,0.0,150,2110.3484,1942.9768
3,0,0,-0.0,17.196077467085647,0.0,2.5458645353045517,1.451710390540086,0.0,-8.618213564791882,15.1137612675773,0.0,150,2108.0955,1939.8899
