Delta-v Total [km/s],Initial Delta-V [km/s],Final Delta-V [km/s],Transfer Time [days]
3.7494941850371317,1558.4362603451323,2191.0579246919997,150.0
3.655365025787373,1523.3014973389943,2132.0635284483787,150.0
3.5622976346697053,1488.94421100554,2073.353423664165,150.0
3.470372182707273,1455.4191492825662,2014.9530334247065,150.0
3.379675475962273,1422.7848215488782,1956.8906544133943,150.0
3.290301439134957,1391.1035887519295,1899.197850383028,150.0
3.202351608210031,1360.4417018968293,1841.9099063132016,150.0
3.1159356261339335,1330.8692731557267,1785.0663529782064,150.0
3.031171734741177,1302.4601617347691,1728.7115730064077,150.0
2.948187255789616,1275.2917548892342,1672.895500900382,150.0
2.8671190542340144,1249.4446234392306,1617.6744307947833,150.0
2.7881139780011974,1225.0020312284666,1563.1119467727308,150.0
2.711329270711315,1202.0492796728643,1509.2799910384501,150.0
2.6369329570594986,1180.6728723776312,1456.2600846818673,150.0
2.565104204672301,1160.9594912242394,1404.1447134480618,150.0
2.4960336704366206,1142.9947846542168,1353.0388857824037,150.0
2.429923842053215,1126.8619811254787,1303.0618609277365,150.0
2.366989384380749,1112.6403554785272,1254.3490289022216,150.0
2.307457491263124,1100.4035922672413,1207.0538989958825,150.0
2.25156822200999,1090.2181064309596,1161.3501155790307,150.0
2.1995747617238064,1082.1413959523218,1117.4333657714844,150.0
2.151743480696254,1076.2205110221612,1075.522969674093,150.0
2.1083535770233777,1072.4907274995667,1035.8628495238108,150.0
2.069695971328146,1070.9745074914379,998.7214638367082,150.0
2.036070997070437,1071.6808161229328,964.3901809475043,150.0
2.007784325348645,1074.6048418464313,933.1794835022138,150.0
1.9851405312652872,1079.7281401379987,905.4123911272883,150.0
1.9684338197116573,1087.0191904472952,881.414629264362,150.0
1.9579357523303451,1096.434327549122,861.5014247812231,150.0
1.953880388601775,1107.918984519676,845.9614040820987,150.0
1.95644801901862,1121.409168024914,835.038850993706,150.0
1.9657494469544157,1136.8330787603606,828.9163681940549,150.0
1.9818132782201854,1154.1127905817975,827.7004876383877,150.0
2.0045786097790996,1173.1659098101204,831.412699968979,150.0
2.033894741405698,1193.9071492879884,839.9875921177091,150.0
2.069528225202692,1216.2497676768417,853.2784575258502,150.0
2.1111761366048603,1240.1068410126381,871.0692955922224,150.0
