relative_r [AU],relative_t [AU],relative_n [AU],relative_vr [km/s],relative_vt [km/s],relative_vn [km/s],tof [days],m0_maximum [kg],mass_ratio
-0.01916450785161583,0.3172230622717487,0.0017136840029224,-44.64715609783515,-12.595821638600682,5.510663879745775,31.4869219585,2505.453066553,1.0168888949193544
-0.2339578441900878,1.1628415279293116,0.0366821443118468,-253.17041436270813,3.510254078374487,20.897876496281327,130.2544008716,2750.0375240704,1.066773832804764
-0.033714710527756875,0.3289204662326234,0.0012108681100037,-61.046545010891606,2.6732961033179663,2.584424014921597,30.38923099,3810.7053974163,1.0106512090431177
0.00827387922152134,0.203579272526588,0.0008752628722755,-36.4466266958336,-6.165022105672165,4.873601323974513,18.5477108038,3118.1075331536,1.0079233828994831
-0.13535462167072065,0.8111805699232054,-0.0130456884750043,-143.28591147985603,-9.635645818497608,1.1017692503087173,82.5934431908,3245.0898305043,1.034806558954466
-0.2396594798484002,0.9888160892189232,-0.0294051973382343,-192.353236605112,-31.451416927941978,-19.466010619433135,93.9333813536,3545.3031126247,1.036285170631888
-0.3142688265688127,1.4057351001155929,0.1260036259735688,-237.81645822760933,-60.47674446691349,82.95217623237002,155.3185672628,2828.1810385484,1.0782567555305846
0.0033943613680960105,0.2706249167338581,0.000505386880479,-44.64131281524388,-8.301797380976154,4.492778930994768,27.6724409111,2745.4102735949,1.013500088517221
-0.09682124990380236,0.7441153788915901,-0.0231240899623218,-127.44660281451907,5.5318072814644665,-35.481879407831926,69.259691898,2492.3286096679,1.038124771404125
-0.04995289512841605,0.9173456316629583,-0.0231982572396125,-143.7816597670203,-20.40065923017852,-18.51298730119505,89.7104114141,2751.2064015668,1.0450327384909066
-0.03777865570148364,0.5672153626485814,-0.0069688907162024,-133.27582286861448,-2.2900148900665727,-13.938520316525754,56.3601872603,2185.8246892501,1.0352657907969811
-0.00018939889424451906,0.0135137889986034,2.5620271050909004e-06,-2.1184713506204265,0.28793162639709635,0.1928019393242013,1.3706498186,5007.3728456488,1.0003618734071251
-0.05064654018782777,0.5974229161427738,0.0117054018542522,-123.41428445823348,-7.329096842328795,21.220477532583367,56.2605953265,3713.8068005804,1.0204292180766497
-0.07941660004991169,0.6165902040586826,0.0205062647229154,-120.93655766616945,-11.788414158219211,37.263801047998214,56.8688319908,2316.3736236331,1.0335331504221885
-0.15483141039449588,0.8342912736194481,-0.0005104936756698,-192.04073659335702,-26.41075613925841,-2.711112050585285,79.4387891825,5438.3155844276,1.019684153016243
-0.0022194517172988704,0.1837684775538598,0.0009990253675587,-34.67494252223354,-10.536903971231027,5.8171919939116306,18.2824820488,2546.7077337122,1.0095781171333678
0.016247475147456836,0.3603530418938376,-0.0030035800959055,-50.31654169932649,3.1593431508981666,-8.880076200413598,35.3293050722,2903.4909037305,1.016343276093118
-0.01573579648492318,0.738051469222985,0.0176047800392013,-120.22021369635422,-18.470449509285288,25.779482688616344,73.6561398238,3780.8772032614,1.0264257735119804
-0.014222391053476446,0.2174271325982045,-0.0013076220476493,-32.96658665191879,-8.647144670891578,-5.638367494909363,23.2472702669,3211.1529184955,1.0096598334836269
-0.027347175003550994,0.2439803637854088,-0.0025156473341548,-41.12873963316307,5.650741250260239,-10.518658797131492,23.656899374,2327.6943231594,1.0136140648906238
0.0008399603572577519,0.0176418489545092,-1.5123812581326354e-05,-3.19606962290775,0.49028104456954225,-0.9056297039557532,1.7227002433,2542.4267154104,1.0008962605602134
-0.0390960683377255,0.5098287385706909,0.0031199868818255,-108.6847893746367,-8.108422927864694,-4.878585856507833,45.537385398,2733.6353403873,1.022510111635022
-0.1503149908692336,0.6865954628308196,0.0019364637394353,-129.29800972417536,-6.730104077004796,-11.455566229575352,72.0597199358,2758.3620246961,1.0357576482201294
-0.03697422757560931,0.3492462974237493,-0.0028338536074178,-53.00909167939014,-1.4534807971332384,-1.2605744931590117,34.5767606346,2849.9835887027,1.0162946241280064
-0.08466289442146158,0.3927060984783173,0.0026910416811492,-86.2795740303988,3.877306131082719,4.4288432079767945,37.5535769031,2779.2820783569,1.0181810039504224
-0.036029769880138396,0.3630281698689371,0.0060107670718528,-61.43266173544634,3.5064407925885916,16.59545543995713,36.0099013069,2663.7346338037,1.0181901284614687
-0.007679700336294726,0.194905371304329,-0.0018360198471862,-40.84372504350685,0.386672161886338,-6.316002083517564,21.4685592782,2570.9592307768,1.0111585702171715
-0.001081540103132994,0.095349336477664,-0.0004323424286165,-10.893056808003953,-1.6345085104197778,-4.8453663816328225,9.269446285,1561.350960212,1.0079078425803332
-0.13931655491924388,1.009039223004112,-0.0362665527593917,-204.35723794102756,-38.9156941462831,-5.470501603188753,99.2002169088,2308.7621489568,1.060200394108427
-0.18793347575227415,0.8505448262205151,-0.0186717554256278,-166.01693756442825,-25.731996412689455,-2.6311319972471647,83.0676725519,3088.6913715833,1.0349006005790578
-0.002432784960674006,0.4244168318870823,0.0025928070530116,-98.17084757795277,-5.978777112442117,9.991863657303828,45.0016865872,2816.5511480529,1.0215704669733043
-0.028610241306098683,0.3466630417673858,0.0075716884853785,-73.49104498422533,-0.29701977100489785,23.18341849438024,33.6515536823,2092.893832369,1.0217104298582564
-0.026381818882542873,0.3074464527590875,0.0044064338251031,-57.749033762339025,-11.289473011276414,14.978594948462405,30.4585328767,2762.1565346228,1.0147883574815344
-0.06716461751606229,0.4274893085314298,-0.0019458344356314,-93.22437711844888,1.9494801622831233,-4.852732122344035,42.9473109674,3913.9654148973,1.0147145360295415
-0.016994249560883024,0.1806643137002989,0.0013485415658545,-39.93584865499243,-0.20113672261948068,7.2500735782659005,19.0746317477,2783.5700495957,1.009138765932067
-0.03470864660600226,0.5102858928255013,-0.0100178082686554,-107.24296245722827,-18.647815505428866,-22.39629920126236,45.8568451102,2951.4681870274,1.0209633239569331
-0.07935968678247152,1.0008962583407623,-0.0379935131710895,-176.69912507888867,-32.66740451296232,-12.850903849300506,100.6398432719,2866.6625474868,1.0486527436630733
-0.02703144299579252,0.5176182522579272,0.0029950287733046,-83.62536172434298,-21.699723190424606,3.97765321546066,50.0923971199,3346.6951722761,1.0201797255533223
-0.08917626109905008,0.540676891184125,0.0042937854881544,-92.42961811767027,-5.584386948235874,5.332039189948071,52.4467087178,3941.6049063837,1.0178991490626412
-0.045043735149545405,0.5165137563353519,0.002253212443261,-111.07924470534248,-26.293793316021663,6.502526437525115,50.8669040505,3124.3070811257,1.0219893021994497
-0.2187168265724977,1.092882726132666,-0.004095111727963,-203.48400455426042,-20.39710017627408,-10.142265944597206,104.2771161226,4545.5559545777,1.0312647237560437
-0.016654620214837657,0.3212867336073709,-0.0016625904350766,-57.51408277505636,7.835674261211693,-5.756338656816327,30.1377730091,3621.63626105,1.011119691985751
0.010356992412119403,0.37743880311521,-0.003786247451094,-73.04091156790884,-14.5330698823945,-12.391873395980124,38.2940594044,2862.0576594549,1.0180002071128038
-0.1703348656787398,0.8265142654638422,0.0107482914232912,-191.71790314230824,-17.02183630236607,17.266187596648606,83.3762672953,3688.0531866288,1.0307965436325222
-0.2903861286558067,1.229545775446972,0.043199957356436,-263.8642850519967,-38.30769826863991,15.709574519931197,119.2197139143,2645.5388414598,1.0633254508955774
-0.15782995073439343,0.8302934434825116,-0.0009599621867054,-167.3620509147346,-16.550184729076364,-7.0650073345875555,77.4088416278,5237.9027678347,1.019919659855056
-0.5333773479710695,1.4987506481707844,-0.0156584149185934,-318.43047507915384,-78.36954758855791,-3.087135268433692,159.2881757735,2632.1393799934,1.0869278727485912
-0.10715155571432833,0.688259022129098,0.022439691909648,-122.41924073320364,-42.2619333175241,32.186609396221975,72.1940547991,2638.0536131354,1.0375230903711754
-0.11737422233600459,0.7882910536059363,0.0080971396237867,-137.51188733518705,-1.0391406749284897,3.484002191408363,82.2309394992,2921.421123158,1.0386353556714603
-0.02511067631547581,0.4883992706367973,0.0035577033122275,-79.0584828783079,-13.911206917022014,8.472157035619828,46.2357511566,2770.7404730111,1.022549889036815
-0.2947117019226617,1.5539316572643165,0.0864066194171913,-303.91483177008735,-117.6846563209885,52.24590282265256,168.0378306646,3469.1627471114,1.0683904198271308
-0.002063751971351113,0.3775562639353318,-0.002663378411393,-69.10838647544657,-9.222352290689741,-8.765993732742588,35.3205718535,2048.360663578,1.0233184967732658
-0.2523657929351222,1.0221042283362285,0.0067999861094307,-224.32478346415178,-48.742375492524445,7.201293644897588,102.8904261227,5641.860386376,1.0246961668145278
-0.40680090451091644,1.2768258882471386,-0.0077210921780295,-265.8823142262199,-56.58698567155278,-18.401442255079775,123.354896705,2932.2830779938,1.058867385387182
0.0008647097469536291,0.2181283082814347,-0.0007327666542194,-26.78330644211306,-8.358638586502366,-1.8520372892550805,21.7728142525,1965.4723035609,1.0148571295269477
-0.02595256264602197,0.4712884741339854,-0.0043911212567528,-102.23252012893242,-23.698397223943743,-9.243023086513134,47.9500474844,3513.1445753221,1.0183688578383452
