r0 [AU],vr0 [km/s],vt0 [km/s],r1 [AU],t1 [AU],n1 [AU],vr1 [km/s],vt1 [km/s],vn1 [km/s],tof [days],m0_maximum [kg],m1_maximum [kg]
2.84787337,4.888220741,518.3192178,2.847980181,0.035819729,-1.91E-05,-1.791247638,519.9261729,-0.553634602,3.558372546,3160.778716,3156.076144
2.848368396,4.702367493,520.7040131,2.848463815,0.035984458,-1.89E-05,-1.935524302,522.3160903,-0.547599367,3.558372546,3153.724858,3149.022287
2.848852007,4.66808396,523.0978516,2.848946542,0.036149782,-1.87E-05,-1.926731127,524.714232,-0.540921257,3.558372546,3146.671001,3141.96843
2.849340043,4.788364505,525.4965688,2.849444423,0.036315412,-1.84E-05,-1.761494877,527.1163456,-0.533444641,3.558372546,3139.617144,3134.914573
2.849848673,5.066575932,527.8957576,2.849973874,0.03648104,-1.81E-05,-1.435972111,529.5179021,-0.524958723,3.558372546,3132.563288,3127.860717
2.850394438,5.506596234,530.2907033,2.850551725,0.036646333,-1.78E-05,-0.945669501,531.9140127,-0.515172614,3.558372546,3125.509432,3120.806863
2.850994317,6.113015567,532.6762848,2.8511953,0.036810931,-1.74E-05,-0.285180269,534.2992995,-0.503676035,3.558372546,3118.455578,3113.753009
2.851665812,6.891433236,535.0468201,2.851922524,0.036974427,-1.69E-05,0.552212652,536.6676883,-0.489874372,3.558372546,3111.401724,3106.699156
2.852427079,7.848909282,537.395816,2.852752093,0.037136354,-1.64E-05,1.575154551,539.0120594,-0.472875955,3.558372546,3104.347872,3099.645305
2.853297106,8.994675717,539.7155383,2.85370371,0.037296142,-1.56E-05,2.795218798,541.3236262,-0.45128602,3.558372546,3097.294022,3092.591457
2.854296001,10.34130157,541.9962312,2.854798471,0.037453057,-1.47E-05,4.228594382,543.5907475,-0.422806929,3.558372546,3090.240175,3085.537611
2.855445428,11.90668475,544.2245928,2.856059468,0.037606062,-1.34E-05,5.899068964,545.7964637,-0.383402945,3.558372546,3083.18633,3078.483769
2.856769329,13.71761918,546.3805143,2.857512824,0.037753515,-1.14E-05,7.843559714,547.9128106,-0.325386487,3.558372546,3076.13249,3071.429934
2.858295154,15.81645798,548.4292633,2.859189508,0.03789241,-8.36E-06,10.12257317,549.885823,-0.232575762,3.558372546,3069.078657,3064.376109
