tof [days],m0_maximum [kg],m1_maximum [kg]
176.1394410173235,3156.689023549039,2924.1630941097255
200.2857215936455,2850.5672457719056,2586.2002911876184
145.03247857752294,2526.7819900235404,2335.3742212960856
146.11727562263687,2497.2569517453803,2304.419060299751
115.9811855958688,2940.7481524003665,2787.648277074686
236.4325051172346,3314.1032936734596,3001.970786245268
282.06810689774284,5101.11541034824,4728.602714997299
122.73137729093943,2957.066967165401,2795.055178085812
104.28437546944802,3339.5412350227934,3201.863316249481
152.9307534204268,2856.9514138535646,2655.0854057957554
279.02653094474266,3120.3963147754466,2752.0619291837775
183.3650161115078,2511.317881546522,2269.3239991772543
199.6454008864378,2337.360044822361,2073.912511766395
98.60367560731532,2036.8669932080747,1906.7741116572345
256.0427724123874,3248.6147746186825,2910.602673586089
140.38318116212758,3226.409642429309,3041.080766283044
111.39048812301913,3127.07702644554,2980.0263363726262
140.51353998237758,2785.8395615330332,2600.3704343940435
134.9343225177435,2744.7721633629385,2566.676684111319
100.9650935395766,1808.3985117928935,1675.2338549464805
209.34140641652647,2514.590741867106,2238.3188016589347
105.76172455612688,3132.9098868897254,2993.2898594688627
231.31960773419965,5392.813253757136,5090.374194450723
207.32419758765928,3382.6145870037394,3108.9017889203024
224.30670387986171,3388.8114388276176,3092.6795408533635
131.0465071129436,2821.457639228105,2648.480399844754
197.59764444487567,2643.2213384680113,2385.807307586688
96.628098232366,2689.415835496335,2561.880348654774
155.9929254432934,2779.6854647270834,2573.7859871747496
161.28410598285015,2613.410492506652,2400.543887722723
160.20890153079384,4036.5952001787914,3825.0484014158296
103.17790149802026,3007.975337168956,2871.7716552141765
210.6173267243285,2981.9262615995294,2703.906745817295
158.0659096264134,2960.7496962431824,2752.0968558447107
272.3089391557005,2700.2105717467216,2340.809452440396
256.3835491016072,3015.0003292900783,2686.9753468742942
161.49421353063377,4991.721575101491,4778.44496310407
258.25236634374596,8637.692934389097,8297.302426113107
183.31663194735316,6695.328385891929,6453.275082860541
220.1881871724468,3091.9689523192214,2801.3045164877963
215.68631212851315,3257.8262865113907,2982.969336320545
55.522965144074874,2916.3021821442117,2843.009019685688
158.32614308835767,2333.78861827675,2124.8599694779145
149.7285256056206,2416.159430655106,2218.566614681504
195.461265784092,2250.4827751106623,1992.5721975309664
111.77640993076712,2300.5096673923413,2154.706458011622
87.83900310288358,1965.003599127936,1849.1197151714168
199.79865836988756,2644.3202944575105,2384.2731696162605
155.68739299724265,2627.258157496736,2421.7776125878618
163.02562862403283,2537.594267436043,2325.1655649622007
162.27898643063963,2702.9647818436683,2488.7750306440903
238.51719692278135,2451.3472181787884,2138.241402131654
141.833600477781,2214.722225663927,2027.5710476016588
130.57862712080535,3058.0426748361597,2885.666992315848
78.21774274925691,4908.537416156903,4805.748381073395
231.13432408458897,4260.2646998180735,3955.053468055469
162.738905697625,3363.568425972925,3148.7167329086083
185.23204968174116,3150.006475713163,2905.479363121118
181.2516475509467,2769.0612144609654,2529.824975121481
186.9625367427369,2371.520744776869,2129.7682630716276
149.61571056379697,2493.0539797208885,2296.933988458427
68.17256233183463,1745.217343778858,1655.3097675387564
119.23695700510144,2771.357241180942,2613.971378842223
165.46323798400405,2685.527487017828,2467.1385506714537
107.77024334152524,2628.739007697159,2486.496491205024
112.81391132474536,2703.8594434745505,2554.9549256889045
158.5991529064485,2961.9550120817344,2752.5985749874535
224.5452626792248,4192.815805426648,3896.309782727671
208.1350363059319,4102.172843836365,3827.3395014133616
190.0358208784025,2307.709170343284,2056.9471976460272
103.78590104944264,2136.519104551242,2003.5053281165408
91.60520128424136,2225.634744587211,2104.7559625716613
237.91157552332157,2609.4110813173615,2295.419833237372
164.63075672111864,2075.205665059594,1858.0051105623695
146.3113186831036,1874.9225387711908,1681.9374223217476
54.1963862553675,1546.3930649459792,1477.110439148974
170.5065683016656,3084.802982129466,2859.719111044163
268.829871392816,4361.755615443904,4006.762710854114
150.20208551918043,2895.649505902129,2697.38349049392
231.6845646253787,2884.400403561026,2578.5854051635647
67.75975168540025,1826.5680168373497,1737.189431695121
94.2170715375396,2997.655105838204,2873.281253934239
121.44160815165388,2462.8329091673363,2302.5616905107186
178.95504010125296,3516.4065814156056,3280.1370574912426
173.78719125012833,3435.055468624437,3205.613654459178
137.59138089564,1898.0425067047336,1716.5509817606926
101.96390913490896,1604.0224682827766,1469.6269507852714
146.5783666514178,3102.4579002758974,2908.958076516489
134.75863828303372,2341.086629408681,2163.2564489842407
