start_pos_x,start_pos_y,start_pos_z,rel_dist_x,rel_dist_y,rel_dist_z,tof,delta_v
-854279.53,457451.87,922102.87,-580936.76,113494.77,-671791.99,0.81,24189.14
290459.18,115626.74,-767046.33,386519.46,984112.25,-512115.03,10.17,30990.86
654648.78,-150918.78,657563.3,739209.02,711693.09,-746213.54,4.62,29062.34
-410380.36,-764721.31,-159168.8,-355384.07,235968.78,-880012.08,8.14,30019.37
-351986.97,537589.3,532017.49,796938.95,-241010.17,506281.31,3.22,30842.94
168838.83,799944.51,-623138.35,-483190.09,-767510.61,-609164.75,15.85,27821.13
52677.23,609302.83,907587.55,-374005.87,-450192.32,647855.71,11.02,26954.08
582520.43,-202430.34,4429.34,376393.5,-489299.3,392088.67,1.48,35852.77
-4334.9,-277772.98,695290.97,313766.29,-37805.28,832273.18,4.33,32575.74
-965896.48,61116.09,544156.34,189945.69,804342.87,641607.35,3.28,26715.56
6801.61,-112977.1,-527800.96,-65135.72,-3045.46,281574.41,890.66,38429.9
-239275.64,336204.7,718541.34,265491.35,-179570.11,-42599.24,995.41,31017.95
39254.48,-383351.29,213288.32,413053.97,481382.87,515357.95,3.34,42494.33
-337179.76,-535013.93,574610.83,-229325.28,-267869.38,396635.62,6.78,30501.65
265223.48,113663.84,-169660.06,65188.48,270223.56,-45160.71,746.2,48801.67
975072.34,15384.21,-558220.61,356676.45,-639906.99,-332515.26,21.62,26613
7636.06,-15609.76,100523.24,149361.2,-31984.66,334760.74,955.34,88400.33
-670488.62,-598389.28,-144421.4,-129711.81,-303844.19,-953362.25,15.74,29569.24
201085.57,-696530.27,995612,-310497.89,-592022.85,817374.06,19.81,25416.55
-53886.15,339347,-97520.16,-39817.93,-172679.76,-288526.9,737.62,47244.14
316756.76,863013.73,139677.37,830423.98,394870.34,-101104.01,2.05,29180.16
-787749.64,235817.15,-435532.79,-500733.84,-841498.92,968968.99,10.93,29237.31
-317601.72,92418.56,-316829.88,600100.07,-538792.97,24246.05,995.95,41719.38
-977844.1,-507967.79,-260902.48,-123423.85,774730.33,337924.39,8.77,26491.27
-549056.1,-705072.67,282042.48,-446608.63,964671.54,-939888.83,14.57,29139.97
699243.13,-159260.45,-622322.44,577465.36,676634.84,662283.3,16.09,28949.99
-948957.93,776110.54,-473750.79,94782.04,222650.96,435257.59,4.46,24557.87
295072.13,-574252.01,-440336.39,-166794.71,477014.91,219632.48,790.42,31939.3
221200.83,-518256.66,-510187.96,164115.63,-580637.43,708386.98,16.68,32362.18
-440846.7,83496.27,880487.5,558203.14,-457164.58,-483784.7,9.79,28366.24
-894908.42,379889.72,-67849.2,172224.38,-694223.99,-287869.69,6.54,28553.58
-795351.61,-535880.52,201558.29,-761964.85,-347805.93,-326974.72,0.35,28187.15
205836.99,-315517.37,-907523.62,676868.47,-29943.45,-138481.62,7.36,28439.7
-83890.22,424227.84,-858382.08,142674.65,-505207.66,-673521.62,14.13,28771.55
-822168.34,141365.34,10816.08,-130031.9,358030.49,132840.73,2.64,30831.65
-921966.04,-503720.94,-959142.64,-937020.61,-647690.4,333087.77,28.01,23651.02
-146221.23,78889.99,-71766.74,-424409.69,-35349.26,445714.69,965.38,66369.11
443632.88,474491.45,-435893.2,-233543.74,634350.69,-659506.45,16.16,31899.89
432675.61,-777830.92,191325.19,-696894.96,-908926.73,303580.89,4.04,29528.61
404765.68,636315.21,-675626.4,709407.53,-558892.44,40926.02,18.16,28035.25
78522.39,55456.1,463611.43,-157117.28,-186371.95,-656543.88,785.69,41033.48
148085.12,177846.53,-65646.31,632509.45,-218332.2,338654.3,999.02,57567.2
780716.98,171502.34,-850460.14,966482.81,994823.02,-646089.02,20.01,26110.49
-614690.15,-676567.49,-149047.51,771616.16,750831.04,-696101.09,15.89,29312.99
70444.32,252987.88,949570.22,412923.55,953518.82,-253784.15,8.03,28404.42
661218.41,-904036.66,449501.41,620301.77,-247210.8,458381.74,9.36,25659.81
-264825.56,-246482.73,-227810.14,870926.24,373240.48,-320465.01,4.52,43141.69
141854.99,-391113.02,103994.77,-139822.07,418056.2,38409.64,453.89,43115.85
-914791.2,863506.41,234668.8,-622667.69,-982162.04,127517.96,11.87,24923.09
274910.25,510814.54,320037.07,-783074.57,60429.48,664266.13,9.1,34657.24
-751306.84,-855172.26,-605550.31,467101.08,-520542.64,224118.87,19.79,24839.44
241493.96,381636.97,218655.84,767768.81,-456637.73,-654349.75,3.23,39805.16
-385706.03,581680.72,-209996.79,-864832.86,-604502.87,218489,17.03,33050.81
564584.95,-596966.03,-161532.47,-905818.92,-765930.27,-67409.17,16.45,30831.01
844900.93,-491885.22,367377.21,254454.68,745683.99,737631.14,9.02,27588.6
-824502.13,424559.79,-696970.27,-856802.51,886109.28,114396.68,15.4,26185.13
307336.03,-594607.34,-761669.71,-418178.93,-213058.42,-729483.24,8.18,27997.95
-187996.04,-630514.25,910352.8,822519.21,-653259.59,-828129.18,21.35,26617.98
915392.09,-967628.21,-395975.93,598900.15,785727.05,420245.01,5.37,23887.36
805335.05,-635044.11,-996708.07,238503.21,-878351.23,-805947.6,18.3,23581.21
-970613.33,114367.38,-64379.52,765378.74,795926.91,894423.68,17.92,28505.3
68046.34,-685901.18,832102.43,-415789.74,712843.89,926789.79,23.75,27141.55
